mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
215544000,237.0,44.0,11.2,80.0,,833,2021,2024
215555000,183.0,32.0,12.2,80.0,,362,2015,2018
215558000,354.0,46.0,13.5,71.0,,1040,2024,2024
215560000,369.0,51.0,14.6,71.0,,2724,2022,2025
215561000,265.0,32.0,8.4,71.0,,93,2022,2022
215564000,179.0,28.0,10.1,70.0,,362,2023,2023
215572000,183.0,32.0,12.2,84.0,,221,2017,2017
215639000,255.0,43.0,13.6,70.0,,5390,2020,2023
215640000,294.0,32.0,11.8,70.0,,814,2021,2021
215654000,199.0,32.0,14.4,70.0,,836,2017,2022
215657000,347.0,46.0,13.7,71.0,,440,2021,2021
215662000,190.0,32.0,7.0,70.0,,1227,2021,2024
215672000,190.0,32.0,6.8,70.0,,461,2022,2022
215676000,229.0,32.0,14.5,70.0,,889,2019,2020
215677000,229.0,32.0,14.5,70.0,,1096,2018,2021
215679000,229.0,32.0,14.5,70.0,,1969,2018,2023
215693000,232.0,36.0,8.0,89.0,,1344,2021,2024
215724000,294.0,32.0,13.5,70.0,,98,2018,2018
215735000,190.0,32.0,12.5,70.0,,471,2017,2017
215744000,183.0,32.0,8.4,80.0,,369,2021,2024
215765000,366.0,51.0,12.5,70.0,,498,2023,2023
215767000,225.0,32.0,13.9,70.0,,943,2023,2025
215771000,294.0,32.0,13.5,70.0,,426,2018,2020
215782000,243.0,42.0,14.9,80.0,,470,2019,2019
215797000,236.0,32.0,12.0,70.0,,3877,2020,2025
215800000,296.0,38.0,9.7,71.0,,4346,2021,2025
215801000,295.0,37.0,10.2,71.0,,3246,2021,2024
215804000,296.0,37.0,9.7,70.0,,3502,2021,2025
215809000,296.0,37.0,10.1,74.0,,2240,2021,2025
215810000,243.0,42.0,14.9,80.0,,826,2018,2020
215824000,189.0,32.0,12.8,70.0,,463,2021,2021
215845000,277.0,48.0,9.4,80.0,,438,2025,2025
215849000,229.0,32.0,7.7,70.0,,459,2025,2025
215850000,224.0,32.0,14.3,70.0,,45,2020,2020
215853000,288.0,45.0,17.8,70.0,,477,2021,2021
215869000,180.0,30.0,7.0,79.0,,1906,2021,2025
215871000,182.0,27.0,11.2,80.0,,459,2020,2020
215873000,190.0,32.0,12.0,70.0,,573,2023,2023
215874000,189.0,32.0,12.0,70.0,,934,2021,2024
215876000,180.0,30.0,8.1,70.0,,459,2023,2023
215877000,189.0,32.0,12.8,70.0,,459,2018,2018
215879000,350.0,43.0,12.1,74.0,,1011,2022,2025
215881000,224.0,32.0,13.2,70.0,,460,2025,2025
