date,all_u_s_container_ports,los_angeles_long_beach,savannah,all_other_ports,days_included,low_0-50nm,low_50-150nm,low_150-300nm,low_total_0_300,movement_total_0_300
2023-01-31 00:00:00+00:00,16.0,1.0,4.0,11.0,7,682.5714285714286,73.0,141.42857142857142,897.0,485.42857142857144
2023-02-07 00:00:00+00:00,19.0,2.0,5.0,12.0,7,625.7142857142857,63.714285714285715,149.0,838.4285714285714,387.42857142857144
2023-02-14 00:00:00+00:00,24.0,3.0,2.0,19.0,7,592.7142857142857,76.57142857142857,86.14285714285714,755.4285714285714,401.14285714285717
2023-02-21 00:00:00+00:00,22.0,1.0,5.0,16.0,7,521.1428571428571,78.71428571428571,78.71428571428571,678.5714285714286,406.57142857142856
2023-02-28 00:00:00+00:00,18.0,2.0,3.0,13.0,7,400.14285714285717,120.0,64.0,584.1428571428571,312.2857142857143
2023-03-07 00:00:00+00:00,10.0,2.0,1.0,7.0,7,411.14285714285717,118.14285714285714,88.14285714285714,617.4285714285714,363.14285714285717
2023-03-14 00:00:00+00:00,5.0,0.0,1.0,4.0,7,523.7142857142857,120.42857142857143,102.57142857142857,746.7142857142857,440.42857142857144
2023-03-21 00:00:00+00:00,5.0,0.0,0.0,5.0,7,573.5714285714286,100.57142857142857,70.85714285714286,745.0,419.42857142857144
2023-03-28 00:00:00+00:00,13.0,1.0,2.0,10.0,7,496.0,119.28571428571429,113.28571428571429,728.5714285714286,374.0
2023-04-04 00:00:00+00:00,9.0,0.0,6.0,3.0,7,505.7142857142857,96.85714285714286,75.42857142857143,678.0,400.14285714285717
2023-04-11 00:00:00+00:00,9.0,2.0,0.0,7.0,7,583.5714285714286,98.42857142857143,69.85714285714286,751.8571428571429,445.57142857142856
2023-04-18 00:00:00+00:00,15.0,2.0,5.0,8.0,7,549.7142857142857,54.42857142857143,68.42857142857143,672.5714285714286,369.2857142857143
2023-04-25 00:00:00+00:00,20.0,1.0,6.0,13.0,7,520.0,105.28571428571429,57.857142857142854,683.1428571428571,427.14285714285717
2023-05-02 00:00:00+00:00,11.0,1.0,1.0,9.0,7,544.1428571428571,154.71428571428572,79.42857142857143,778.2857142857143,455.57142857142856
2023-05-09 00:00:00+00:00,8.0,0.0,2.0,6.0,7,459.42857142857144,116.28571428571429,87.71428571428571,663.4285714285714,397.85714285714283
2023-05-16 00:00:00+00:00,10.0,0.0,2.0,8.0,7,541.4285714285714,91.85714285714286,139.42857142857142,772.7142857142857,397.0
2023-05-23 00:00:00+00:00,11.0,1.0,2.0,8.0,7,471.7142857142857,86.85714285714286,59.57142857142857,618.1428571428571,438.2857142857143
2023-05-30 00:00:00+00:00,13.0,2.0,6.0,5.0,7,463.42857142857144,84.14285714285714,73.28571428571429,620.8571428571429,437.42857142857144
2023-06-06 00:00:00+00:00,16.0,2.0,4.0,10.0,7,519.0,125.85714285714286,78.57142857142857,723.4285714285714,375.85714285714283
2023-06-13 00:00:00+00:00,18.0,1.0,2.0,15.0,7,684.7142857142857,97.28571428571429,55.714285714285715,837.7142857142857,379.7142857142857
2023-06-20 00:00:00+00:00,18.0,2.0,5.0,11.0,7,631.1428571428571,81.14285714285714,54.285714285714285,766.5714285714286,378.0
2023-06-27 00:00:00+00:00,12.0,0.0,2.0,10.0,7,576.5714285714286,97.28571428571429,62.42857142857143,736.2857142857143,429.2857142857143
2023-07-03 00:00:00+00:00,25.0,0.0,5.0,20.0,7,588.4285714285714,129.71428571428572,107.14285714285714,825.2857142857143,460.0
2023-07-10 00:00:00+00:00,14.0,0.0,4.0,10.0,7,508.0,83.28571428571429,116.57142857142857,707.8571428571429,427.42857142857144
2023-07-17 00:00:00+00:00,21.0,0.0,10.0,11.0,7,614.0,97.14285714285714,95.42857142857143,806.5714285714286,466.42857142857144
2023-07-25 00:00:00+00:00,20.0,0.0,8.0,12.0,7,553.5714285714286,61.0,70.85714285714286,685.4285714285714,440.57142857142856
2023-08-01 00:00:00+00:00,22.0,1.0,5.0,16.0,7,488.0,105.14285714285714,47.0,640.1428571428571,375.0
2023-08-08 00:00:00+00:00,16.0,1.0,2.0,13.0,7,536.1428571428571,81.71428571428571,37.42857142857143,655.2857142857143,392.14285714285717
2023-08-15 00:00:00+00:00,10.0,0.0,2.0,8.0,7,504.42857142857144,149.71428571428572,38.0,692.1428571428571,431.42857142857144
2023-08-22 00:00:00+00:00,9.0,0.0,1.0,8.0,7,484.2857142857143,87.85714285714286,125.71428571428571,697.8571428571429,334.85714285714283
2023-08-29 00:00:00+00:00,14.0,1.0,3.0,10.0,7,581.8571428571429,118.14285714285714,102.0,802.0,427.2857142857143
2023-09-05 00:00:00+00:00,33.0,0.0,13.0,20.0,7,527.2857142857143,78.85714285714286,86.14285714285714,692.2857142857143,387.42857142857144
2023-09-12 00:00:00+00:00,23.0,0.0,15.0,8.0,7,654.0,103.0,71.42857142857143,828.4285714285714,431.0
2023-09-15 00:00:00+00:00,31.0,0.0,16.0,15.0,7,606.4285714285714,116.71428571428571,62.142857142857146,785.2857142857143,440.42857142857144
2023-09-26 00:00:00+00:00,24.0,0.0,11.0,13.0,7,506.14285714285717,99.71428571428571,74.42857142857143,680.2857142857143,392.7142857142857
